CourtID,CourtName,CourtLevelID,CSPAggID,FundingID,AppealFromAdminAgency,Notes,Link,DisplayOrder,CourtLevelIDDescription,CSPAggIDDescription,USStateID,USStateName,FundingName,FundingDescription
137,Circuit,GJ        ,GJ        ,M,False,Jury trials except in appeals.,http://www.flcourts.org/florida-courts/trial-courts-circuit.stml,48,General Jurisdiction,General Jurisdiction,10.0,Florida,Mixed,State and local funding
138,County,LJ        ,LJ        ,M,False,Jury trials.,http://www.flcourts.org/florida-courts/trial-courts-county.stml,49,Limited Jurisdiction,Limited Jurisdiction,10.0,Florida,Mixed,State and local funding
21,Supreme Court,COLR      ,COLR      ,S,False,-99,https://www.gasupreme.us/,50,Court of Last Resource,Court of Last Resource,11.0,Georgia,State,State funded
22,Court of Appeals,IAC       ,IAC       ,S,False,-99,http://www.gaappeals.us/,51,Intermediate Appellate Court,Intermediate Appellate Court,11.0,Georgia,State,State funded
139,Civil,LJ        ,LJ        ,L,False,-99,http://www.georgiacourts.org/courts/civil/bibb/index.html,52,Limited Jurisdiction,Limited Jurisdiction,11.0,Georgia,Local,Locally funded
140,County Recorder's,LJ        ,LJ        ,L,False,No jury trials.,http://www.ncsconline.org/D_KIS/CourtWebSites/CtWeb_GAlimited.htm,53,Limited Jurisdiction,Limited Jurisdiction,11.0,Georgia,Local,Locally funded
141,Juvenile,LJ        ,GJ        ,M,False,No jury trials.,-99,54,Limited Jurisdiction,General Jurisdiction,11.0,Georgia,Mixed,State and local funding
142,Magistrate,LJ        ,LJ        ,L,False,No jury trials.,http://www.georgiamagistratecouncil.com/,55,Limited Jurisdiction,Limited Jurisdiction,11.0,Georgia,Local,Locally funded
143,Municipal,LJ        ,LJ        ,L,False,No jury trials.,http://municipal.georgiacourts.gov/,56,Limited Jurisdiction,Limited Jurisdiction,11.0,Georgia,Local,Locally funded
144,Probate,LJ        ,LJ        ,L,False,Jury trials only in counties with populations greater than 960.,-99,57,Limited Jurisdiction,Limited Jurisdiction,11.0,Georgia,Local,Locally funded
145,State,LJ        ,LJ        ,L,False,Jury trials.,-99,58,Limited Jurisdiction,Limited Jurisdiction,11.0,Georgia,Local,Locally funded
146,Superior,GJ        ,GJ        ,M,True,Jury trials.,https://georgiasuperiorcourts.org/,59,General Jurisdiction,General Jurisdiction,11.0,Georgia,Mixed,State and local funding
24,Supreme Court,COLR      ,COLR      ,S,False,-99,http://www.courts.state.hi.us/courts/supreme/hawaii_supreme_court,62,Court of Last Resource,Court of Last Resource,13.0,Hawai'i,State,State funded
25,Intermediate Court of Appeals,IAC       ,IAC       ,S,True,-99,http://www.courts.state.hi.us/courts/appeals/intermediate_court_of_appeals,63,Intermediate Appellate Court,Intermediate Appellate Court,13.0,Hawai'i,State,State funded
148,Circuit,GJ        ,GJ        ,S,True,Jury trials. The Family Courts are a division of the Circuit Courts and have exclusive jurisdiction over domestic relations and juvenile cases.,-99,64,General Jurisdiction,General Jurisdiction,13.0,Hawai'i,State,State funded
149,District,LJ        ,LJ        ,S,False,No jury trials.,http://www.courts.state.hi.us/wp-content/themes/hic_state_template_child-Judiciary/redirect_notice.php?redirect=http%3A%2F%2Fwww.courts.state.hi.us%2Fcourts%2Fdistrict%2Fdistrict_courts,65,Limited Jurisdiction,Limited Jurisdiction,13.0,Hawai'i,State,State funded
26,Supreme Court,COLR      ,COLR      ,S,True,-99,https://www.isc.idaho.gov/problem-solving/burdick,66,Court of Last Resource,Court of Last Resource,14.0,Idaho,State,State funded
27,Court of Appeals,IAC       ,IAC       ,S,False,-99,-99,67,Intermediate Appellate Court,Intermediate Appellate Court,14.0,Idaho,State,State funded
150,District,GJ        ,GJ        ,M,True,Jury trials.,https://www.isc.idaho.gov/district-courts,68,General Jurisdiction,General Jurisdiction,14.0,Idaho,Mixed,State and local funding
151,Magistrates Division,LJ        ,LJ        ,M,False,Jury trials. The Magistrates Division of the District Court functions as a limited jurisdiction court.,-99,69,Limited Jurisdiction,Limited Jurisdiction,14.0,Idaho,Mixed,State and local funding
28,Supreme Court,COLR      ,COLR      ,S,False,-99,http://www.illinoiscourts.gov/SupremeCourt/default.asp,70,Court of Last Resource,Court of Last Resource,15.0,Illinois,State,State funded
29,Appellate Court,IAC       ,IAC       ,S,True,-99,http://www.illinoiscourts.gov/AppellateCourt/default.asp,71,Intermediate Appellate Court,Intermediate Appellate Court,15.0,Illinois,State,State funded
152,Circuit,GJ        ,GJ        ,M,True,Jury trials permissible in most cases.,http://www.illinoiscourts.gov/CircuitCourt/default.asp,72,General Jurisdiction,General Jurisdiction,15.0,Illinois,Mixed,State and local funding
30,Supreme Court,COLR      ,COLR      ,S,False,-99,https://www.in.gov/judiciary/supreme/,73,Court of Last Resource,Court of Last Resource,16.0,Indiana,State,State funded
31,Court of Appeals,IAC       ,IAC       ,S,True,-99,https://www.in.gov/judiciary/appeals/,74,Intermediate Appellate Court,Intermediate Appellate Court,16.0,Indiana,State,State funded
32,Tax Court,IAC       ,IAC       ,S,True,-99,https://www.in.gov/judiciary/tax/,75,Intermediate Appellate Court,Intermediate Appellate Court,16.0,Indiana,State,State funded
153,Circuit,GJ        ,GJ        ,M,True,Jury trials except small claims.,https://www.in.gov/judiciary/2794.htm,76,General Jurisdiction,General Jurisdiction,16.0,Indiana,Mixed,State and local funding
154,City,LJ        ,LJ        ,L,False,Jury trials.,https://www.in.gov/judiciary/2794.htm,77,Limited Jurisdiction,Limited Jurisdiction,16.0,Indiana,Local,Locally funded
155,Probate,GJ        ,GJ        ,M,False,Jury trials.,https://www.in.gov/judiciary/iocs/2381.htm,78,General Jurisdiction,General Jurisdiction,16.0,Indiana,Mixed,State and local funding
156,Small Claims of Marion County,LJ        ,GJ        ,L,False,No jury trials.,-99,79,Limited Jurisdiction,General Jurisdiction,16.0,Indiana,Local,Locally funded
157,Superior,GJ        ,GJ        ,M,True,"Jury trials except small claims, probate/estate, mental health,  domestic relations, and juvenile. Jurisdiction varies by county.",https://www.in.gov/judiciary/2794.htm,80,General Jurisdiction,General Jurisdiction,16.0,Indiana,Mixed,State and local funding
158,Town,LJ        ,LJ        ,L,False,Jury trials.,https://www.in.gov/judiciary/2794.htm,81,Limited Jurisdiction,Limited Jurisdiction,16.0,Indiana,Local,Locally funded
33,Supreme Court,COLR      ,COLR      ,S,False,-99,https://www.iowacourts.gov/iowa-courts/supreme-court/,82,Court of Last Resource,Court of Last Resource,17.0,Iowa,State,State funded
34,Court of Appeals,IAC       ,IAC       ,S,False,-99,https://www.iowacourts.gov/iowa-courts/court-of-appeals/,83,Intermediate Appellate Court,Intermediate Appellate Court,17.0,Iowa,State,State funded
159,District,GJ        ,GJ        ,M,True,"Jury trials except in small claims,  juvenile,  equity cases,  city and county ordinance violations, and mental health.",https://www.iowacourts.gov/iowa-courts/district-court/,84,General Jurisdiction,General Jurisdiction,17.0,Iowa,Mixed,State and local funding
35,Supreme Court,COLR      ,COLR      ,S,False,May transfer cases to Court of Appeals.,http://www.kscourts.org/kansas-courts/supreme-court/default.asp,85,Court of Last Resource,Court of Last Resource,18.0,Kansas,State,State funded
36,Court of Appeals,IAC       ,IAC       ,S,True,-99,http://www.kscourts.org/kansas-courts/court-of-appeals/default.asp,86,Intermediate Appellate Court,Intermediate Appellate Court,18.0,Kansas,State,State funded
160,District,GJ        ,GJ        ,M,True,Jury trials except in small claims.,http://www.kscourts.org/kansas-courts/district-courts/default.asp,87,General Jurisdiction,General Jurisdiction,18.0,Kansas,Mixed,State and local funding
161,Municipal,LJ        ,LJ        ,L,False,No jury trials.,-99,88,Limited Jurisdiction,Limited Jurisdiction,18.0,Kansas,Local,Locally funded
37,Supreme Court,COLR      ,COLR      ,S,False,-99,https://courts.ky.gov/courts/Supreme/Pages/supremecourt.aspx,89,Court of Last Resource,Court of Last Resource,19.0,Kentucky,State,State funded
38,Court of Appeals,IAC       ,IAC       ,S,False,-99,https://courts.ky.gov/courts/coa/Pages/coa.aspx,90,Intermediate Appellate Court,Intermediate Appellate Court,19.0,Kentucky,State,State funded
162,Circuit,GJ        ,GJ        ,S,True,Jury trials except in appeals.,https://courts.ky.gov/courts/Pages/CircuitCourt.aspx,91,General Jurisdiction,General Jurisdiction,19.0,Kentucky,State,State funded
163,District,LJ        ,LJ        ,S,False,Jury trials in most cases.,https://courts.ky.gov/courts/Pages/districtCourt.aspx,92,Limited Jurisdiction,Limited Jurisdiction,19.0,Kentucky,State,State funded
164,Family,GJ        ,GJ        ,S,False,-99,https://courts.ky.gov/courts/familycourt/Pages/default.aspx,93,General Jurisdiction,General Jurisdiction,19.0,Kentucky,State,State funded
39,Supreme Court,COLR      ,COLR      ,S,False,-99,http://www.lasc.org/,94,Court of Last Resource,Court of Last Resource,20.0,Louisiana,State,State funded
40,Courts of Appel,IAC       ,IAC       ,S,True,-99,http://www.lasc.org/links.asp#CourtsofAppeal,95,Intermediate Appellate Court,Intermediate Appellate Court,20.0,Louisiana,State,State funded
165,City & Parish,LJ        ,LJ        ,M,False,No jury trials.,http://www.lasc.org/links.asp#CityandParishCourts,96,Limited Jurisdiction,Limited Jurisdiction,20.0,Louisiana,Mixed,State and local funding
166,District,GJ        ,GJ        ,M,True,Jury trials in most cases.,http://www.lasc.org/links.asp#DistrictCourts,97,General Jurisdiction,General Jurisdiction,20.0,Louisiana,Mixed,State and local funding
167,Family,GJ        ,GJ        ,M,False,No jury trials.,http://www.lasc.org/court_managed_prog/children_families.asp,98,General Jurisdiction,General Jurisdiction,20.0,Louisiana,Mixed,State and local funding
168,Justice of the Peace,LJ        ,LJ        ,M,False,No jury trials.,-99,99,Limited Jurisdiction,Limited Jurisdiction,20.0,Louisiana,Mixed,State and local funding
169,Juvenile,GJ        ,GJ        ,M,False,No jury trials.,http://www.lasc.org/court_managed_prog/children_families.asp,100,General Jurisdiction,General Jurisdiction,20.0,Louisiana,Mixed,State and local funding
170,Mayor's,LJ        ,LJ        ,L,False,No jury trials.,-99,101,Limited Jurisdiction,Limited Jurisdiction,20.0,Louisiana,Local,Locally funded
41,Supreme Judicial Court,COLR      ,COLR      ,S,True,-99,http://www.courts.maine.gov/maine_courts/supreme/index.shtml,102,Court of Last Resource,Court of Last Resource,21.0,Maine,State,State funded
171,District,GJ        ,GJ        ,S,False,No jury trials.,http://www.courts.maine.gov/maine_courts/district/index.shtml,103,General Jurisdiction,General Jurisdiction,21.0,Maine,State,State funded
172,Probate,LJ        ,GJ        ,L,False,No jury trials.,http://www.maineprobate.net/index.html,104,Limited Jurisdiction,General Jurisdiction,21.0,Maine,Local,Locally funded
173,Superior,GJ        ,GJ        ,S,True,Jury trials in some cases.,http://www.courts.maine.gov/maine_courts/superior/index.shtml,105,General Jurisdiction,General Jurisdiction,21.0,Maine,State,State funded
42,Court of Appeals,COLR      ,COLR      ,S,False,-99,-99,106,Court of Last Resource,Court of Last Resource,22.0,Maryland,State,State funded
43,Court of Special Appeals,IAC       ,IAC       ,S,False,-99,-99,107,Intermediate Appellate Court,Intermediate Appellate Court,22.0,Maryland,State,State funded
174,Circuit,GJ        ,GJ        ,M,True,Jury trials in most cases.,-99,108,General Jurisdiction,General Jurisdiction,22.0,Maryland,Mixed,State and local funding
175,District,LJ        ,LJ        ,S,False,No jury trials.,-99,109,Limited Jurisdiction,Limited Jurisdiction,22.0,Maryland,State,State funded
176,Orphan's,LJ        ,GJ        ,L,False,No jury trials.,-99,110,Limited Jurisdiction,General Jurisdiction,22.0,Maryland,Local,Locally funded
44,Supreme Judicial Court,COLR      ,COLR      ,S,True,-99,https://www.mass.gov/orgs/massachusetts-supreme-judicial-court,111,Court of Last Resource,Court of Last Resource,23.0,Massachusetts,State,State funded
45,Appeals Court,IAC       ,IAC       ,S,True,-99,https://www.mass.gov/orgs/appeals-court,112,Intermediate Appellate Court,Intermediate Appellate Court,23.0,Massachusetts,State,State funded
177,Boston Municipal Court Dept,LJ        ,LJ        ,S,False,Jury trials.,https://www.mass.gov/orgs/boston-municipal-court,113,Limited Jurisdiction,Limited Jurisdiction,23.0,Massachusetts,State,State funded
178,District Court Dept,LJ        ,LJ        ,S,False,Jury trials.,https://www.mass.gov/orgs/district-court,114,Limited Jurisdiction,Limited Jurisdiction,23.0,Massachusetts,State,State funded
179,Housing Court Dept,LJ        ,LJ        ,S,False,Jury trials except in small claims.,https://www.mass.gov/orgs/housing-court/locations,115,Limited Jurisdiction,Limited Jurisdiction,23.0,Massachusetts,State,State funded
180,Juvenile Court Dept,LJ        ,GJ        ,S,False,Jury trials.,https://www.mass.gov/orgs/juvenile-court,116,Limited Jurisdiction,General Jurisdiction,23.0,Massachusetts,State,State funded
181,Land Court Dept,LJ        ,LJ        ,S,False,No jury trials.,https://www.mass.gov/orgs/land-court,117,Limited Jurisdiction,Limited Jurisdiction,23.0,Massachusetts,State,State funded
182,Probate & Family Court Dept,LJ        ,GJ        ,S,False,No jury trials.,https://www.mass.gov/orgs/probate-and-family-court,118,Limited Jurisdiction,General Jurisdiction,23.0,Massachusetts,State,State funded
183,Superior Court Dept,GJ        ,GJ        ,S,True,Jury trials.,https://www.mass.gov/orgs/superior-court,119,General Jurisdiction,General Jurisdiction,23.0,Massachusetts,State,State funded
46,Supreme Court,COLR      ,COLR      ,S,False,-99,http://courts.mi.gov/courts/michigansupremecourt/pages/default.aspx,120,Court of Last Resource,Court of Last Resource,24.0,Michigan,State,State funded
47,Court of Appeals,IAC       ,IAC       ,S,False,-99,http://courts.mi.gov/courts/coa/pages/default.aspx,121,Intermediate Appellate Court,Intermediate Appellate Court,24.0,Michigan,State,State funded
184,Circuit,GJ        ,GJ        ,M,True,Jury trials except in domestic relations.,http://courts.mi.gov/courts/trialcourts/Pages/default.aspx,122,General Jurisdiction,General Jurisdiction,24.0,Michigan,Mixed,State and local funding
185,Court of Claims,GJ        ,GJ        ,M,True,No jury trials.,http://courts.mi.gov/courts/coc/Pages/default.aspx,123,General Jurisdiction,General Jurisdiction,24.0,Michigan,Mixed,State and local funding
186,District,LJ        ,LJ        ,M,False,Jury trials in most cases.,http://courts.mi.gov/courts/trialcourts/Pages/default.aspx,124,Limited Jurisdiction,Limited Jurisdiction,24.0,Michigan,Mixed,State and local funding
187,Municipal,LJ        ,LJ        ,L,False,Jury trials in most cases.,http://courts.mi.gov/courts/trialcourts/Pages/default.aspx,125,Limited Jurisdiction,Limited Jurisdiction,24.0,Michigan,Local,Locally funded
188,Probate,LJ        ,LJ        ,M,False,Jury trials in some cases.,http://courts.mi.gov/courts/trialcourts/Pages/default.aspx,126,Limited Jurisdiction,Limited Jurisdiction,24.0,Michigan,Mixed,State and local funding
48,Supreme Court,COLR      ,COLR      ,S,True,-99,http://www.mncourts.gov/About-The-Courts/SupremeCourt.aspx,127,Court of Last Resource,Court of Last Resource,25.0,Minnesota,State,State funded
49,Court of Appeals,IAC       ,IAC       ,S,True,-99,http://www.mncourts.gov/About-The-Courts/CourtOfAppeals.aspx,128,Intermediate Appellate Court,Intermediate Appellate Court,25.0,Minnesota,State,State funded
189,District,GJ        ,GJ        ,S,False,"Jury trials except in small claims, child protection, and non-extended jurisdiction juvenile cases.",http://www.mncourts.gov/Find-Courts.aspx,129,General Jurisdiction,General Jurisdiction,25.0,Minnesota,State,State funded
50,Supreme Court,COLR      ,COLR      ,S,False,Assigns cases to the Court of Appeals.,-99,130,Court of Last Resource,Court of Last Resource,26.0,Mississippi,State,State funded
51,Court of Appeals,IAC       ,IAC       ,S,False,-99,-99,131,Intermediate Appellate Court,Intermediate Appellate Court,26.0,Mississippi,State,State funded
190,Chancery,LJ        ,LJ        ,M,False,Jury trials (limited).,-99,132,Limited Jurisdiction,Limited Jurisdiction,26.0,Mississippi,Mixed,State and local funding
191,Circuit,GJ        ,GJ        ,M,True,Jury trials.,-99,133,General Jurisdiction,General Jurisdiction,26.0,Mississippi,Mixed,State and local funding
192,County,LJ        ,LJ        ,L,False,Jury trials (limited).,-99,134,Limited Jurisdiction,Limited Jurisdiction,26.0,Mississippi,Local,Locally funded
193,Justice,LJ        ,LJ        ,L,False,Jury trials.,-99,135,Limited Jurisdiction,Limited Jurisdiction,26.0,Mississippi,Local,Locally funded
194,Municipal,LJ        ,LJ        ,L,False,No jury trials.,-99,136,Limited Jurisdiction,Limited Jurisdiction,26.0,Mississippi,Local,Locally funded
52,Supreme Court,COLR      ,COLR      ,S,False,-99,https://www.courts.mo.gov/page.jsp?id=27,137,Court of Last Resource,Court of Last Resource,27.0,Missouri,State,State funded
53,Court of Appeals,IAC       ,IAC       ,S,True,-99,https://www.courts.mo.gov/page.jsp?id=261,138,Intermediate Appellate Court,Intermediate Appellate Court,27.0,Missouri,State,State funded
195,Circuit,GJ        ,GJ        ,M,True,Jury trials in most cases.,https://www.courts.mo.gov/page.jsp?id=321,139,General Jurisdiction,General Jurisdiction,27.0,Missouri,Mixed,State and local funding
54,Supreme Court,COLR      ,COLR      ,S,False,-99,-99,140,Court of Last Resource,Court of Last Resource,28.0,Montana,State,State funded
197,City,LJ        ,LJ        ,L,False,Jury trials.,-99,141,Limited Jurisdiction,Limited Jurisdiction,28.0,Montana,Local,Locally funded
198,District,GJ        ,GJ        ,M,True,Jury trials.,-99,142,General Jurisdiction,General Jurisdiction,28.0,Montana,Mixed,State and local funding
199,Justice's Court,LJ        ,LJ        ,L,False,Jury trials except in small claims.,-99,143,Limited Jurisdiction,Limited Jurisdiction,28.0,Montana,Local,Locally funded
200,Municipal,LJ        ,LJ        ,L,False,Jury trials.,-99,144,Limited Jurisdiction,Limited Jurisdiction,28.0,Montana,Local,Locally funded
201,Water,GJ        ,GJ        ,S,False,No jury trials.,-99,145,General Jurisdiction,General Jurisdiction,28.0,Montana,State,State funded
300,City,LJ        ,LJ        ,M,False,No Jury Trials,-99,291,Limited Jurisdiction,Limited Jurisdiction,,,Mixed,State and local funding
202,Worker's Compensation,GJ        ,GJ        ,S,False,No jury trials.,-99,146,General Jurisdiction,General Jurisdiction,28.0,Montana,State,State funded
55,Supreme Court,COLR      ,COLR      ,S,False,-99,https://supremecourt.nebraska.gov/courts/supreme-court,147,Court of Last Resource,Court of Last Resource,29.0,Nebraska,State,State funded
56,Court of Appeals,IAC       ,IAC       ,S,True,-99,https://supremecourt.nebraska.gov/courts/court-appeals,148,Intermediate Appellate Court,Intermediate Appellate Court,29.0,Nebraska,State,State funded
203,County,LJ        ,LJ        ,M,False,Jury trials except in juvenile and small claims.,https://supremecourt.nebraska.gov/courts/county-courts,149,Limited Jurisdiction,Limited Jurisdiction,29.0,Nebraska,Mixed,State and local funding
204,District,GJ        ,GJ        ,M,False,Jury trials except in appeals.,https://supremecourt.nebraska.gov/courts/district-court,150,General Jurisdiction,General Jurisdiction,29.0,Nebraska,Mixed,State and local funding
205,Separate Juvenile,LJ        ,GJ        ,M,False,No jury trials.,https://supremecourt.nebraska.gov/courts/separate-juvenile-courts,151,Limited Jurisdiction,General Jurisdiction,29.0,Nebraska,Mixed,State and local funding
